date_formatted,starting_time_formatted,ending_time_formatted,date,starting_time,ending_time,duration_millis
2012-11-24 00:00:00.000,2012-11-24 13:22:44.196,2012-11-24 13:25:51.481,1353733200000,1353781364196,1353781551481,187285
2012-11-24 00:00:00.000,2012-11-24 13:28:05.549,2012-11-24 13:45:47.584,1353733200000,1353781685549,1353782747584,1062035
2012-11-24 00:00:00.000,2012-11-24 13:47:46.729,2012-11-24 13:52:09.159,1353733200000,1353782866729,1353783129159,262430
2012-11-24 00:00:00.000,2012-11-24 13:54:23.117,2012-11-24 13:57:43.149,1353733200000,1353783263117,1353783463149,200032
2012-11-24 00:00:00.000,2012-11-24 14:01:09.878,2012-11-24 14:15:29.911,1353733200000,1353783669878,1353784529911,860033
2012-11-24 00:00:00.000,2012-11-24 14:16:32.367,2012-11-24 14:20:59.394,1353733200000,1353784592367,1353784859394,267027
2012-11-24 00:00:00.000,2012-11-24 14:25:33.791,2012-11-24 14:29:56.823,1353733200000,1353785133791,1353785396823,263032
2012-11-24 00:00:00.000,2012-11-24 14:32:58.115,2012-11-24 14:36:19.143,1353733200000,1353785578115,1353785779143,201028
2012-11-24 00:00:00.000,2012-11-24 14:41:30.839,2012-11-24 15:21:40.901,1353733200000,1353786090839,1353788500901,2410062
2012-11-24 00:00:00.000,2012-11-24 15:22:10.108,2012-11-24 15:25:29.142,1353733200000,1353788530108,1353788729142,199034
2012-11-24 00:00:00.000,2012-11-24 15:27:55.383,2012-11-24 15:31:25.410,1353733200000,1353788875383,1353789085410,210027
2012-11-24 00:00:00.000,2012-11-24 15:44:48.042,2012-11-24 15:49:43.108,1353733200000,1353789888042,1353790183108,295066
2012-11-24 00:00:00.000,2012-11-24 15:51:26.259,2012-11-24 16:05:27.285,1353733200000,1353790286259,1353791127285,841026
2012-11-24 00:00:00.000,2012-11-24 16:14:28.900,2012-11-24 16:30:26.970,1353733200000,1353791668900,1353792626970,958070
2012-11-24 00:00:00.000,2012-11-24 16:53:06.999,2012-11-24 16:56:16.031,1353733200000,1353793986999,1353794176031,189032
2012-11-25 00:00:00.000,2012-11-25 11:32:56.847,2012-11-25 11:36:28.875,1353819600000,1353861176847,1353861388875,212028
2012-11-25 00:00:00.000,2012-11-25 12:52:57.445,2012-11-25 12:56:14.479,1353819600000,1353865977445,1353866174479,197034
2012-11-25 00:00:00.000,2012-11-25 13:18:23.067,2012-11-25 13:21:27.083,1353819600000,1353867503067,1353867687083,184016
2012-11-25 00:00:00.000,2012-11-25 13:26:53.424,2012-11-25 13:32:10.452,1353819600000,1353868013424,1353868330452,317028
2012-11-25 00:00:00.000,2012-11-25 13:34:55.526,2012-11-25 13:51:35.591,1353819600000,1353868495526,1353869495591,1000065
2012-11-25 00:00:00.000,2012-11-25 13:54:25.756,2012-11-25 13:58:12.820,1353819600000,1353869665756,1353869892820,227064
2012-11-25 00:00:00.000,2012-11-25 14:11:54.186,2012-11-25 14:15:00.213,1353819600000,1353870714186,1353870900213,186027
2012-11-25 00:00:00.000,2012-11-25 14:46:24.813,2012-11-25 14:49:51.847,1353819600000,1353872784813,1353872991847,207034
2012-11-25 00:00:00.000,2012-11-25 14:51:29.373,2012-11-25 15:09:38.437,1353819600000,1353873089373,1353874178437,1089064
2012-11-25 00:00:00.000,2012-11-25 15:16:04.887,2012-11-25 15:19:41.940,1353819600000,1353874564887,1353874781940,217053
2012-11-25 00:00:00.000,2012-11-25 15:24:44.726,2012-11-25 15:29:39.725,1353819600000,1353875084726,1353875379725,294999
2012-11-25 00:00:00.000,2012-11-25 15:59:15.265,2012-11-25 16:04:13.333,1353819600000,1353877155265,1353877453333,298068
2012-11-25 00:00:00.000,2012-11-25 16:11:26.118,2012-11-25 16:15:40.154,1353819600000,1353877886118,1353878140154,254036
2012-11-25 00:00:00.000,2012-11-25 16:26:42.786,2012-11-25 16:33:03.827,1353819600000,1353878802786,1353879183827,381041
2012-11-25 00:00:00.000,2012-11-25 16:43:55.372,2012-11-25 16:47:21.395,1353819600000,1353879835372,1353880041395,206023
2012-11-26 00:00:00.000,2012-11-26 14:38:21.995,2012-11-26 14:42:48.916,1353906000000,1353958701995,1353958968916,266921
2012-11-26 00:00:00.000,2012-11-26 14:46:34.805,2012-11-26 14:52:10.564,1353906000000,1353959194805,1353959530564,335759
2012-11-27 00:00:00.000,2012-11-27 11:01:03.959,2012-11-27 11:04:39.384,1353992400000,1354032063959,1354032279384,215425
2012-11-27 00:00:00.000,2012-11-27 11:34:42.872,2012-11-27 11:38:11.907,1353992400000,1354034082872,1354034291907,209035
2012-11-27 00:00:00.000,2012-11-27 12:07:39.989,2012-11-27 12:11:52.416,1353992400000,1354036059989,1354036312416,252427
2012-11-27 00:00:00.000,2012-11-27 13:16:20.850,2012-11-27 13:20:05.913,1353992400000,1354040180850,1354040405913,225063
2012-11-27 00:00:00.000,2012-11-27 13:29:25.702,2012-11-27 13:32:32.717,1353992400000,1354040965702,1354041152717,187015
2012-11-27 00:00:00.000,2012-11-27 13:32:35.486,2012-11-27 13:36:31.551,1353992400000,1354041155486,1354041391551,236065
2012-11-27 00:00:00.000,2012-11-27 14:06:56.668,2012-11-27 14:16:52.721,1353992400000,1354043216668,1354043812721,596053
2012-11-27 00:00:00.000,2012-11-27 14:34:02.224,2012-11-27 14:37:48.579,1353992400000,1354044842224,1354045068579,226355
2012-11-27 00:00:00.000,2012-11-27 14:39:10.957,2012-11-27 14:45:55.355,1353992400000,1354045150957,1354045555355,404398
2012-11-27 00:00:00.000,2012-11-27 14:48:28.578,2012-11-27 15:11:40.174,1353992400000,1354045708578,1354047100174,1391596
2012-11-27 00:00:00.000,2012-11-27 15:15:54.301,2012-11-27 15:19:04.770,1353992400000,1354047354301,1354047544770,190469
2012-11-27 00:00:00.000,2012-11-27 15:22:51.323,2012-11-27 15:25:03.260,1353992400000,1354047771323,1354047903260,131937
2012-11-27 00:00:00.000,2012-11-27 15:30:42.561,2012-11-27 15:38:31.954,1353992400000,1354048242561,1354048711954,469393
2012-11-27 00:00:00.000,2012-11-27 15:40:56.011,2012-11-27 15:44:52.070,1353992400000,1354048856011,1354049092070,236059
2012-11-28 00:00:00.000,2012-11-28 09:14:40.533,2012-11-28 09:17:49.563,1354078800000,1354112080533,1354112269563,189030
2012-11-28 00:00:00.000,2012-11-28 10:33:53.529,2012-11-28 10:40:47.855,1354078800000,1354116833529,1354117247855,414326
2012-11-28 00:00:00.000,2012-11-28 11:53:17.244,2012-11-28 11:56:37.304,1354078800000,1354121597244,1354121797304,200060
2012-11-28 00:00:00.000,2012-11-28 11:57:59.559,2012-11-28 12:01:26.592,1354078800000,1354121879559,1354122086592,207033
2012-11-28 00:00:00.000,2012-11-28 12:08:08.031,2012-11-28 12:11:14.062,1354078800000,1354122488031,1354122674062,186031
2012-11-28 00:00:00.000,2012-11-28 14:06:54.215,2012-11-28 14:12:31.254,1354078800000,1354129614215,1354129951254,337039
2012-11-28 00:00:00.000,2012-11-28 14:51:22.439,2012-11-28 14:51:30.295,1354078800000,1354132282439,1354132290295,7856
2012-11-28 00:00:00.000,2012-11-28 14:53:16.500,2012-11-28 14:58:23.524,1354078800000,1354132396500,1354132703524,307024
2012-11-28 00:00:00.000,2012-11-28 15:03:11.202,2012-11-28 15:06:32.268,1354078800000,1354132991202,1354133192268,201066
2012-11-28 00:00:00.000,2012-11-28 15:10:35.819,2012-11-28 15:13:41.841,1354078800000,1354133435819,1354133621841,186022
2012-11-28 00:00:00.000,2012-11-28 15:37:27.030,2012-11-28 15:41:37.063,1354078800000,1354135047030,1354135297063,250033
2012-11-28 00:00:00.000,2012-11-28 15:46:31.868,2012-11-28 15:58:21.932,1354078800000,1354135591868,1354136301932,710064
2012-11-28 00:00:00.000,2012-11-28 16:16:15.562,2012-11-28 16:19:55.628,1354078800000,1354137375562,1354137595628,220066
2012-11-28 00:00:00.000,2012-11-28 16:32:58.875,2012-11-28 16:40:56.934,1354078800000,1354138378875,1354138856934,478059
