date_formatted,starting_time_formatted,ending_time_formatted,date,starting_time,ending_time,duration_millis,num_interest_point_selections,num_theme_selections,num_taps,num_animation_starts,num_animation_stops,num_reset_home_view
2012-11-21 00:00:00.000,2012-11-21 10:56:05.937,2012-11-21 10:59:41.990,1353474000000,1353513365937,1353513581990,216053,1,1,0,5,5,8
2012-11-21 00:00:00.000,2012-11-21 11:06:39.400,2012-11-21 11:15:43.431,1353474000000,1353513999400,1353514543431,544031,2,0,8,9,9,5
2012-11-21 00:00:00.000,2012-11-21 11:25:15.982,2012-11-21 11:31:45.409,1353474000000,1353515115982,1353515505409,389427,1,8,0,94,94,16
2012-11-21 00:00:00.000,2012-11-21 11:46:50.524,2012-11-21 11:59:21.586,1353474000000,1353516410524,1353517161586,751062,7,0,8,24,24,5
2012-11-21 00:00:00.000,2012-11-21 11:59:49.051,2012-11-21 12:02:59.074,1353474000000,1353517189051,1353517379074,190023,0,8,1,2,2,9
2012-11-21 00:00:00.000,2012-11-21 12:14:55.587,2012-11-21 12:22:11.655,1353474000000,1353518095587,1353518531655,436068,4,0,5,5,5,1
2012-11-21 00:00:00.000,2012-11-21 12:22:18.942,2012-11-21 12:25:43.980,1353474000000,1353518538942,1353518743980,205038,0,0,3,2,2,1
2012-11-21 00:00:00.000,2012-11-21 12:33:17.015,2012-11-21 12:40:09.076,1353474000000,1353519197015,1353519609076,412061,13,0,9,10,10,2
2012-11-21 00:00:00.000,2012-11-21 12:40:17.634,2012-11-21 12:45:17.668,1353474000000,1353519617634,1353519917668,300034,2,0,3,5,5,1
2012-11-21 00:00:00.000,2012-11-21 12:51:06.157,2012-11-21 13:05:07.218,1353474000000,1353520266157,1353521107218,841061,20,0,26,20,20,4
2012-11-21 00:00:00.000,2012-11-21 13:08:43.256,2012-11-21 13:19:37.288,1353474000000,1353521323256,1353521977288,654032,22,0,27,17,17,1
2012-11-21 00:00:00.000,2012-11-21 13:37:06.206,2012-11-21 13:41:16.240,1353474000000,1353523026206,1353523276240,250034,7,0,3,7,7,1
2012-11-21 00:00:00.000,2012-11-21 13:42:50.089,2012-11-21 13:52:29.115,1353474000000,1353523370089,1353523949115,579026,16,0,14,28,28,1
2012-11-21 00:00:00.000,2012-11-21 13:59:03.249,2012-11-21 14:02:29.311,1353474000000,1353524343249,1353524549311,206062,0,0,1,2,2,1
2012-11-21 00:00:00.000,2012-11-21 14:11:22.314,2012-11-21 14:15:35.346,1353474000000,1353525082314,1353525335346,253032,1,0,3,6,6,1
2012-11-21 00:00:00.000,2012-11-21 14:26:41.819,2012-11-21 14:29:56.852,1353474000000,1353526001819,1353526196852,195033,1,0,1,3,3,1
2012-11-21 00:00:00.000,2012-11-21 14:35:27.007,2012-11-21 14:38:52.030,1353474000000,1353526527007,1353526732030,205023,4,0,2,2,2,1
2012-11-21 00:00:00.000,2012-11-21 14:53:12.212,2012-11-21 14:57:37.247,1353474000000,1353527592212,1353527857247,265035,3,0,7,5,5,1
2012-11-23 00:00:00.000,2012-11-23 08:58:18.537,2012-11-23 09:01:22.575,1353646800000,1353679098537,1353679282575,184038,1,0,0,3,2,1
2012-11-23 00:00:00.000,2012-11-23 10:21:47.170,2012-11-23 10:24:52.229,1353646800000,1353684107170,1353684292229,185059,1,0,0,2,2,1
2012-11-23 00:00:00.000,2012-11-23 10:28:24.076,2012-11-23 10:31:46.106,1353646800000,1353684504076,1353684706106,202030,1,0,0,3,3,1
2012-11-23 00:00:00.000,2012-11-23 10:31:50.439,2012-11-23 10:36:34.505,1353646800000,1353684710439,1353684994505,284066,9,1,0,13,13,8
2012-11-23 00:00:00.000,2012-11-23 10:43:20.185,2012-11-23 10:52:21.250,1353646800000,1353685400185,1353685941250,541065,4,9,0,41,41,12
2012-11-23 00:00:00.000,2012-11-23 10:54:26.405,2012-11-23 11:01:01.838,1353646800000,1353686066405,1353686461838,395433,14,6,0,72,73,19
2012-11-23 00:00:00.000,2012-11-23 11:06:38.241,2012-11-23 11:11:09.270,1353646800000,1353686798241,1353687069270,271029,3,1,0,18,17,2
2012-11-23 00:00:00.000,2012-11-23 11:17:52.459,2012-11-23 11:25:45.524,1353646800000,1353687472459,1353687945524,473065,4,0,0,35,35,3
2012-11-23 00:00:00.000,2012-11-23 11:27:15.961,2012-11-23 11:46:14.054,1353646800000,1353688035961,1353689174054,1138093,14,15,0,111,111,24
2012-11-23 00:00:00.000,2012-11-23 11:48:07.142,2012-11-23 11:55:37.575,1353646800000,1353689287142,1353689737575,450433,6,0,0,65,66,6
2012-11-23 00:00:00.000,2012-11-23 11:56:28.092,2012-11-23 12:05:25.151,1353646800000,1353689788092,1353690325151,537059,5,1,0,77,76,8
2012-11-23 00:00:00.000,2012-11-23 12:06:38.427,2012-11-23 12:10:06.498,1353646800000,1353690398427,1353690606498,208071,2,0,0,4,4,2
