date_formatted	starting_time_formatted	ending_time_formatted	date	starting_time	ending_time	duration_init_millis	duration_active_millis	duration_idle_millis	duration_error_millis	num_startups	num_tours	num_tour_46694	num_tour_79105	num_tour_79156	num_tour_79221	num_tour_80073	num_tour_89586	num_idle_periods	num_errors	num_reloads	
2012-07-14 00:00:00.000	2012-07-14 00:00:02.352	2012-07-14 23:59:50.054	1342224000000	1342224002352	1342310390054	0	16373285	69885242	0	0	279	109	89	3	4	66	8	273	0	0	
2012-07-15 00:00:00.000	2012-07-15 00:00:03.066	2012-07-15 23:59:55.928	1342310400000	1342310403066	1342396795928	0	14997046	71752885	0	0	255	108	79	3	5	60	0	241	0	0	
2012-07-16 00:00:00.000	2012-07-16 00:00:08.941	2012-07-16 23:59:59.630	1342396800000	1342396808941	1342483199630	219	16468465	66708918	1061	11	292	51	70	42	38	43	48	296	6	3	
2012-07-17 00:00:00.000	2012-07-17 00:00:12.639	2012-07-17 23:59:56.291	1342483200000	1342483212639	1342569596291	18	16819634	69477458	953	1	295	42	71	43	43	48	48	287	2	1	
2012-07-18 00:00:00.000	2012-07-18 00:00:09.304	2012-07-18 23:59:58.748	1342569600000	1342569609304	1342655998748	0	19818804	75432527	0	0	190	30	45	21	26	36	32	186	0	0	
2012-07-19 00:00:00.000	2012-07-19 00:00:11.755	2012-07-19 23:59:47.307	1342656000000	1342656011755	1342742387307	63	13824877	71257034	0	3	243	41	55	36	36	36	39	243	0	0	
2012-07-20 00:00:00.000	2012-07-20 00:00:00.326	2012-07-20 23:59:50.208	1342742400000	1342742400326	1342828790208	0	21967070	63988274	0	0	388	78	87	54	56	48	65	383	0	0	
2012-07-21 00:00:00.000	2012-07-21 00:00:03.216	2012-07-21 23:59:49.288	1342828800000	1342828803216	1342915189288	19	17888109	67865379	34	1	316	45	76	53	47	50	45	316	2	1	
2012-07-22 00:00:00.000	2012-07-22 00:00:02.300	2012-07-22 23:59:59.671	1342915200000	1342915202300	1343001599671	0	15904964	70152805	0	0	281	44	78	41	34	39	45	278	0	0	
2012-07-23 00:00:00.000	2012-07-23 00:00:12.683	2012-07-23 23:59:55.099	1343001600000	1343001612683	1343087995099	19	13899142	72250184	45	1	246	36	61	33	48	40	28	242	2	1	
2012-07-24 00:00:00.000	2012-07-24 00:00:08.111	2012-07-24 23:59:53.054	1343088000000	1343088008111	1343174393054	0	16992230	69075598	0	0	302	45	82	44	47	38	46	298	0	0	
2012-07-25 00:00:00.000	2012-07-25 00:00:06.067	2012-07-25 23:59:57.930	1343174400000	1343174406067	1343260797930	40	11387991	74518234	55	2	200	30	46	28	33	36	27	201	2	1	
2012-07-26 00:00:00.000	2012-07-26 00:00:10.938	2012-07-26 23:59:51.555	1343260800000	1343260810938	1343347191555	0	15139819	70935786	0	0	268	41	72	36	41	38	40	265	0	0	
2012-07-27 00:00:00.000	2012-07-27 00:00:04.568	2012-07-27 21:54:11.397	1343347200000	1343347204568	1343426051397	37	19492559	58765589	27	2	347	55	90	43	50	45	64	339	2	1	
2012-07-28 00:00:00.000	2012-07-28 06:24:58.919	2012-07-28 21:53:39.120	1343433600000	1343456698919	1343512419120	77	14537331	40747942	59	4	257	35	65	38	40	44	35	254	4	2	
2012-07-29 00:00:00.000	2012-07-29 06:25:10.950	2012-07-29 23:59:52.981	1343520000000	1343543110950	1343606392981	19	13293066	49950819	0	1	234	37	55	31	39	40	32	229	0	0	
2012-07-30 00:00:00.000	2012-07-30 00:00:05.990	2012-07-30 21:53:27.702	1343606400000	1343606405990	1343685207702	20	13168322	65499387	0	1	233	35	58	35	39	34	32	229	0	0	
